year,race,driver,team,fastest_lap,avg_lap,pitstops,track_affinity,team_strength,momentum,start_position,air_temp,humidity,rain,home_race,position
2023,Saudi Arabian Grand Prix,OCO,Alpine,93.222,95.059818,0,0.1,0.7,0.09999999000000101,6.0,26.09189189189189,57.79054054054054,0.0,0,8.0
2023,Saudi Arabian Grand Prix,NOR,McLaren,94.122,95.632309,0,0.1,0.75,0.09999999000000101,19.0,26.09189189189189,57.79054054054054,0.0,0,17.0
2023,Saudi Arabian Grand Prix,HAM,Mercedes,92.941,94.632521,0,0.1,0.9,0.2727271983471277,7.0,26.09189189189189,57.79054054054054,0.0,0,5.0
2023,Saudi Arabian Grand Prix,SAI,Ferrari,92.822,94.593886,0,0.1,0.85,0.11111109876543349,4.0,26.09189189189189,57.79054054054054,0.0,0,6.0
2023,Saudi Arabian Grand Prix,RUS,Mercedes,92.433,94.278869,0,0.1,0.9,0.29999991000002696,3.0,26.09189189189189,57.79054054054054,0.0,0,4.0
2023,Saudi Arabian Grand Prix,BOT,Alfa Romeo,94.384,96.189055,0,0.1,0.4,0.09999999000000101,14.0,26.09189189189189,57.79054054054054,0.0,0,18.0
2023,Saudi Arabian Grand Prix,PIA,McLaren,94.287,95.562883,0,0.1,0.75,0.09999999000000101,8.0,26.09189189189189,57.79054054054054,0.0,0,15.0
2023,Australian Grand Prix,VER,Red Bull Racing,80.342,81.862159,0,0.1,0.5,0.599999640000216,1.0,17.449549549549552,54.15765765765766,0.0,0,1.0
2023,Australian Grand Prix,GAS,Alpine,80.995,82.288818,0,0.1,0.7,0.09999999000000101,9.0,17.449549549549552,54.15765765765766,0.0,0,13.0
2023,Australian Grand Prix,PER,Red Bull Racing,80.235,82.119697,0,0.1,0.5,0.09999999000000101,20.0,17.449549549549552,54.15765765765766,0.0,0,5.0
2023,Australian Grand Prix,ALO,Aston Martin,80.476,82.085568,0,0.1,0.8,0.21428566836735677,4.0,17.449549549549552,54.15765765765766,0.0,0,3.0
2023,Australian Grand Prix,STR,Aston Martin,80.934,82.263704,0,0.1,0.8,0.09999999000000101,6.0,17.449549549549552,54.15765765765766,0.0,0,4.0
2023,Australian Grand Prix,SAR,Williams,81.456,83.712219,0,0.1,0.5,0.09999999000000101,18.0,17.449549549549552,54.15765765765766,0.0,0,16.0
2023,Australian Grand Prix,MAG,Haas F1 Team,81.685,83.161558,0,0.1,0.5,0.09999999000000101,14.0,17.449549549549552,54.15765765765766,0.0,0,17.0
2023,Australian Grand Prix,DEV,AlphaTauri,81.183,83.799153,0,0.1,0.4,0.09999999000000101,15.0,17.449549549549552,54.15765765765766,0.0,0,15.0
2023,Australian Grand Prix,TSU,AlphaTauri,81.789,83.370627,0,0.1,0.4,0.09999999000000101,12.0,17.449549549549552,54.15765765765766,0.0,0,10.0
2023,Australian Grand Prix,ALB,Williams,83.349,83.771666,0,0.1,0.5,0.09999999000000101,8.0,17.449549549549552,54.15765765765766,0.0,0,19.0
2023,Australian Grand Prix,ZHO,Alfa Romeo,81.819,83.234162,0,0.1,0.4,0.09999999000000101,17.0,17.449549549549552,54.15765765765766,0.0,0,9.0
2023,Australian Grand Prix,HUL,Haas F1 Team,81.124,82.573568,0,0.1,0.5,0.09999999000000101,10.0,17.449549549549552,54.15765765765766,0.0,0,7.0
2023,Australian Grand Prix,OCO,Alpine,81.203,82.578409,0,0.1,0.7,0.09999999000000101,11.0,17.449549549549552,54.15765765765766,0.0,0,14.0
2023,Australian Grand Prix,NOR,McLaren,81.173,82.492795,0,0.1,0.75,0.09999999000000101,13.0,17.449549549549552,54.15765765765766,0.0,0,6.0
2023,Australian Grand Prix,HAM,Mercedes,80.613,82.084022,0,0.1,0.9,0.2727271983471277,3.0,17.449549549549552,54.15765765765766,0.0,0,2.0
2023,Australian Grand Prix,SAI,Ferrari,80.467,82.051113,0,0.1,0.85,0.11111109876543349,5.0,17.449549549549552,54.15765765765766,0.0,0,12.0
2023,Australian Grand Prix,RUS,Mercedes,82.68,83.305555,0,0.1,0.9,0.29999991000002696,2.0,17.449549549549552,54.15765765765766,0.0,0,18.0
2023,Australian Grand Prix,BOT,Alfa Romeo,82.233,83.417097,0,0.1,0.4,0.09999999000000101,19.0,17.449549549549552,54.15765765765766,0.0,0,11.0
2023,Australian Grand Prix,PIA,McLaren,81.335,82.887295,0,0.1,0.75,0.09999999000000101,16.0,17.449549549549552,54.15765765765766,0.0,0,8.0
2023,Azerbaijan Grand Prix,VER,Red Bull Racing,104.232,105.786404,0,0.1,0.5,0.599999640000216,2.0,24.860625,49.225,0.0,0,2.0
2023,Azerbaijan Grand Prix,GAS,Alpine,105.54,107.134731,0,0.1,0.7,0.09999999000000101,17.0,24.860625,49.225,0.0,0,14.0
2023,Azerbaijan Grand Prix,PER,Red Bull Racing,104.589,105.666659,0,0.1,0.5,0.09999999000000101,3.0,24.860625,49.225,0.0,0,1.0
2023,Azerbaijan Grand Prix,ALO,Aston Martin,104.241,106.261297,0,0.1,0.8,0.21428566836735677,6.0,24.860625,49.225,0.0,0,4.0
2023,Azerbaijan Grand Prix,LEC,Ferrari,104.561,106.289375,0,0.1,0.85,0.16666663888889352,1.0,24.860625,49.225,0.0,0,3.0
2023,Azerbaijan Grand Prix,STR,Aston Martin,105.627,106.89534,0,0.1,0.8,0.09999999000000101,9.0,24.860625,49.225,0.0,0,7.0
2023,Azerbaijan Grand Prix,SAR,Williams,106.501,107.926441,0,0.1,0.5,0.09999999000000101,14.0,24.860625,49.225,0.0,0,16.0
2023,Azerbaijan Grand Prix,MAG,Haas F1 Team,105.85,107.703488,0,0.1,0.5,0.09999999000000101,16.0,24.860625,49.225,0.0,0,13.0
2023,Azerbaijan Grand Prix,DEV,AlphaTauri,108.781,109.32325,0,0.1,0.4,0.09999999000000101,18.0,24.860625,49.225,0.0,0,20.0
