year,race,Driver,final_position
2023,Monaco,VER,1.0
2023,Monaco,ALO,2.0
2023,Monaco,LEC,3.0
2023,Monaco,GAS,3.0
2023,Monaco,RUS,3.0
2023,Monaco,SAI,3.0
2023,Monaco,OCO,3.0
2023,Monaco,HAM,4.0
2023,Monaco,PIA,9.0
2023,Monaco,NOR,9.0
2023,Monaco,TSU,9.0
2023,Monaco,BOT,11.0
2023,Monaco,DEV,12.0
2023,Monaco,MAG,12.0
2023,Monaco,ALB,13.0
2023,Monaco,ZHO,13.0
2023,Monaco,HUL,14.0
2023,Monaco,PER,15.0
2023,Monaco,SAR,15.0
2023,Monaco,STR,15.0
