year,race,driver,predicted_position,probability,final_position,abs_error
2023,Bahrain Grand Prix,TSU,12,17.44,11.0,1.0
2023,Bahrain Grand Prix,VER,1,90.46,1.0,0.0
2023,Bahrain Grand Prix,ZHO,16,21.01,9.0,7.0
2023,Belgian Grand Prix,ALB,14,47.57,7.0,7.0
2023,Belgian Grand Prix,ALO,5,49.75,4.0,1.0
2023,Belgian Grand Prix,BOT,12,43.66,11.0,1.0
2023,Belgian Grand Prix,GAS,11,44.93,6.0,5.0
2023,Belgian Grand Prix,HAM,4,56.6,3.0,1.0
2023,Belgian Grand Prix,HUL,16,55.32,8.0,8.0
2023,Belgian Grand Prix,LEC,5,22.01,2.0,3.0
2023,Belgian Grand Prix,MAG,15,39.3,8.0,7.0
2023,Belgian Grand Prix,NOR,7,47.07,7.0,0.0
2023,Belgian Grand Prix,OCO,8,44.73,6.0,2.0
2023,Belgian Grand Prix,PER,2,32.39,1.0,1.0
2023,Belgian Grand Prix,RIC,10,38.67,12.0,2.0
2023,Belgian Grand Prix,RUS,6,58.96,6.0,0.0
2023,Belgian Grand Prix,SAI,17,58.61,5.0,12.0
2023,Belgian Grand Prix,SAR,17,48.17,10.0,7.0
2023,Belgian Grand Prix,STR,9,41.68,5.0,4.0
2023,Belgian Grand Prix,TSU,10,48.93,6.0,4.0
2023,Belgian Grand Prix,VER,1,75.77,1.0,0.0
2023,Belgian Grand Prix,ZHO,10,23.76,12.0,2.0
2023,British Grand Prix,ALB,14,14.43,6.0,8.0
2023,British Grand Prix,ALO,7,36.34,4.0,3.0
2023,British Grand Prix,BOT,14,18.9,12.0,2.0
2023,British Grand Prix,DEV,17,20.57,14.0,3.0
2023,British Grand Prix,GAS,11,33.81,5.0,6.0
2023,British Grand Prix,HAM,3,37.21,3.0,0.0
2023,British Grand Prix,HUL,14,25.16,14.0,0.0
2023,British Grand Prix,LEC,9,36.92,4.0,5.0
2023,British Grand Prix,MAG,14,50.31,14.0,0.0
2023,British Grand Prix,NOR,4,19.72,1.0,3.0
2023,British Grand Prix,OCO,12,58.07,12.0,0.0
2023,British Grand Prix,PER,14,14.02,6.0,8.0
2023,British Grand Prix,PIA,4,20.16,3.0,1.0
2023,British Grand Prix,RUS,5,40.31,4.0,1.0
2023,British Grand Prix,SAI,7,20.21,5.0,2.0
2023,British Grand Prix,SAR,14,15.95,12.0,2.0
2023,British Grand Prix,STR,11,25.8,10.0,1.0
2023,British Grand Prix,TSU,16,19.99,13.0,3.0
2023,British Grand Prix,VER,1,89.88,1.0,0.0
2023,British Grand Prix,ZHO,15,23.72,15.0,0.0
2023,Canadian Grand Prix,ALB,16,15.15,6.0,10.0
2023,Canadian Grand Prix,ALO,2,49.52,2.0,0.0
2023,Canadian Grand Prix,BOT,11,45.54,8.0,3.0
2023,Canadian Grand Prix,DEV,18,23.9,13.0,5.0
2023,Canadian Grand Prix,GAS,13,24.22,13.0,0.0
2023,Canadian Grand Prix,HAM,3,46.79,2.0,1.0
2023,Canadian Grand Prix,HUL,15,48.35,6.0,9.0
2023,Canadian Grand Prix,LEC,4,49.06,4.0,0.0
2023,Canadian Grand Prix,MAG,12,14.59,7.0,5.0
2023,Canadian Grand Prix,NOR,9,21.52,7.0,2.0
2023,Canadian Grand Prix,OCO,8,28.15,5.0,3.0
2023,Canadian Grand Prix,PER,6,24.63,6.0,0.0
2023,Canadian Grand Prix,PIA,12,24.47,6.0,6.0
2023,Canadian Grand Prix,RUS,8,43.57,4.0,4.0
2023,Canadian Grand Prix,SAI,5,50.96,5.0,0.0
2023,Canadian Grand Prix,SAR,18,50.73,18.0,0.0
2023,Canadian Grand Prix,STR,10,34.96,10.0,0.0
2023,Canadian Grand Prix,TSU,14,44.16,13.0,1.0
2023,Canadian Grand Prix,VER,1,91.94,1.0,0.0
2023,Canadian Grand Prix,ZHO,16,26.01,13.0,3.0
2023,Dutch Grand Prix,ALB,6,28.13,3.0,3.0
2023,Dutch Grand Prix,ALO,3,51.02,2.0,1.0
2023,Dutch Grand Prix,BOT,17,30.95,9.0,8.0
2023,Dutch Grand Prix,GAS,5,38.96,3.0,2.0
2023,Dutch Grand Prix,HAM,7,50.96,5.0,2.0
2023,Dutch Grand Prix,HUL,15,28.94,10.0,5.0
2023,Dutch Grand Prix,LAW,18,28.01,11.0,7.0
2023,Dutch Grand Prix,LEC,3,21.0,4.0,1.0
2023,Dutch Grand Prix,MAG,16,25.1,7.0,9.0
2023,Dutch Grand Prix,NOR,10,37.32,1.0,9.0
2023,Dutch Grand Prix,OCO,5,27.21,6.0,1.0
2023,Dutch Grand Prix,PER,2,30.55,1.0,1.0
2023,Dutch Grand Prix,PIA,11,29.75,6.0,5.0
2023,Dutch Grand Prix,RUS,9,55.34,3.0,6.0
2023,Dutch Grand Prix,SAI,4,59.63,3.0,1.0
2023,Dutch Grand Prix,SAR,20,43.08,13.0,7.0
2023,Dutch Grand Prix,STR,14,37.86,7.0,7.0
2023,Dutch Grand Prix,TSU,12,45.31,4.0,8.0
2023,Dutch Grand Prix,VER,1,90.59,1.0,0.0
2023,Dutch Grand Prix,ZHO,13,31.35,2.0,11.0
2023,Hungarian Grand Prix,ALB,12,18.09,11.0,1.0
2023,Hungarian Grand Prix,ALO,9,42.35,3.0,6.0
2023,Hungarian Grand Prix,BOT,12,28.08,10.0,2.0
2023,Hungarian Grand Prix,HAM,4,39.61,2.0,2.0
2023,Hungarian Grand Prix,HUL,14,22.15,9.0,5.0
2023,Hungarian Grand Prix,LEC,6,37.68,4.0,2.0
2023,Hungarian Grand Prix,MAG,17,21.04,11.0,6.0
2023,Hungarian Grand Prix,NOR,2,21.45,2.0,0.0
2023,Hungarian Grand Prix,PER,3,23.17,2.0,1.0
2023,Hungarian Grand Prix,PIA,5,28.54,2.0,3.0
2023,Hungarian Grand Prix,RIC,13,23.05,9.0,4.0
2023,Hungarian Grand Prix,RUS,7,44.23,5.0,2.0
2023,Hungarian Grand Prix,SAI,8,41.81,4.0,4.0
2023,Hungarian Grand Prix,SAR,15,32.62,12.0,3.0
2023,Hungarian Grand Prix,STR,10,39.93,9.0,1.0
