year,race,driver,position,probability
2025,Spanish Grand Prix,TSU,18,9.37
2025,Spanish Grand Prix,TSU,19,8.27
2025,Spanish Grand Prix,TSU,20,5.25
2025,Spanish Grand Prix,ALB,1,0.03
2025,Spanish Grand Prix,ALB,2,0.35
2025,Spanish Grand Prix,ALB,3,0.94
2025,Spanish Grand Prix,ALB,4,1.64
2025,Spanish Grand Prix,ALB,5,2.19
2025,Spanish Grand Prix,ALB,6,0.82
2025,Spanish Grand Prix,ALB,7,5.19
2025,Spanish Grand Prix,ALB,8,6.56
2025,Spanish Grand Prix,ALB,9,6.64
2025,Spanish Grand Prix,ALB,10,5.64
2025,Spanish Grand Prix,ALB,11,9.36
2025,Spanish Grand Prix,ALB,12,7.23
2025,Spanish Grand Prix,ALB,13,8.51
2025,Spanish Grand Prix,ALB,14,7.84
2025,Spanish Grand Prix,ALB,15,4.96
2025,Spanish Grand Prix,ALB,16,6.69
2025,Spanish Grand Prix,ALB,17,8.88
2025,Spanish Grand Prix,ALB,18,3.43
2025,Spanish Grand Prix,ALB,19,10.05
2025,Spanish Grand Prix,ALB,20,3.08
2025,Spanish Grand Prix,HUL,1,0.03
2025,Spanish Grand Prix,HUL,2,0.24
2025,Spanish Grand Prix,HUL,3,0.43
2025,Spanish Grand Prix,HUL,4,0.79
2025,Spanish Grand Prix,HUL,5,6.92
2025,Spanish Grand Prix,HUL,6,0.85
2025,Spanish Grand Prix,HUL,7,2.74
2025,Spanish Grand Prix,HUL,8,2.65
2025,Spanish Grand Prix,HUL,9,3.28
2025,Spanish Grand Prix,HUL,10,4.71
2025,Spanish Grand Prix,HUL,11,6.72
2025,Spanish Grand Prix,HUL,12,6.41
2025,Spanish Grand Prix,HUL,13,7.93
2025,Spanish Grand Prix,HUL,14,9.29
2025,Spanish Grand Prix,HUL,15,8.41
2025,Spanish Grand Prix,HUL,16,11.09
2025,Spanish Grand Prix,HUL,17,11.02
2025,Spanish Grand Prix,HUL,18,6.94
2025,Spanish Grand Prix,HUL,19,5.59
2025,Spanish Grand Prix,HUL,20,3.97
2025,Spanish Grand Prix,LAW,1,0.03
2025,Spanish Grand Prix,LAW,2,0.25
2025,Spanish Grand Prix,LAW,3,0.37
2025,Spanish Grand Prix,LAW,4,0.92
2025,Spanish Grand Prix,LAW,5,2.01
