year,race,driver,position,probability
2025,Spanish Grand Prix,TSU,18,2.3
2025,Spanish Grand Prix,TSU,19,1.65
2025,Spanish Grand Prix,TSU,20,0.43
2025,Spanish Grand Prix,ALB,1,0.42
2025,Spanish Grand Prix,ALB,2,0.64
2025,Spanish Grand Prix,ALB,3,0.2
2025,Spanish Grand Prix,ALB,4,0.33
2025,Spanish Grand Prix,ALB,5,0.16
2025,Spanish Grand Prix,ALB,6,11.11
2025,Spanish Grand Prix,ALB,7,2.33
2025,Spanish Grand Prix,ALB,8,9.94
2025,Spanish Grand Prix,ALB,9,2.34
2025,Spanish Grand Prix,ALB,10,1.46
2025,Spanish Grand Prix,ALB,11,0.39
2025,Spanish Grand Prix,ALB,12,5.2
2025,Spanish Grand Prix,ALB,13,0.59
2025,Spanish Grand Prix,ALB,14,15.89
2025,Spanish Grand Prix,ALB,15,1.14
2025,Spanish Grand Prix,ALB,16,6.72
2025,Spanish Grand Prix,ALB,17,1.42
2025,Spanish Grand Prix,ALB,18,26.58
2025,Spanish Grand Prix,ALB,19,0.4
2025,Spanish Grand Prix,ALB,20,12.74
2025,Spanish Grand Prix,HUL,1,1.39
2025,Spanish Grand Prix,HUL,2,2.8
2025,Spanish Grand Prix,HUL,3,2.78
2025,Spanish Grand Prix,HUL,4,10.4
2025,Spanish Grand Prix,HUL,5,0.65
2025,Spanish Grand Prix,HUL,6,3.26
2025,Spanish Grand Prix,HUL,7,1.66
2025,Spanish Grand Prix,HUL,8,2.16
2025,Spanish Grand Prix,HUL,9,4.56
2025,Spanish Grand Prix,HUL,10,4.28
2025,Spanish Grand Prix,HUL,11,5.44
2025,Spanish Grand Prix,HUL,12,8.99
2025,Spanish Grand Prix,HUL,13,5.06
2025,Spanish Grand Prix,HUL,14,7.73
2025,Spanish Grand Prix,HUL,15,13.6
2025,Spanish Grand Prix,HUL,16,9.95
2025,Spanish Grand Prix,HUL,17,8.55
2025,Spanish Grand Prix,HUL,18,4.23
2025,Spanish Grand Prix,HUL,19,1.69
2025,Spanish Grand Prix,HUL,20,0.81
2025,Spanish Grand Prix,LAW,1,0.98
2025,Spanish Grand Prix,LAW,2,3.81
2025,Spanish Grand Prix,LAW,3,2.74
2025,Spanish Grand Prix,LAW,4,2.64
2025,Spanish Grand Prix,LAW,5,0.6
2025,Spanish Grand Prix,LAW,6,3.85
2025,Spanish Grand Prix,LAW,7,6.54
2025,Spanish Grand Prix,LAW,8,3.35
2025,Spanish Grand Prix,LAW,9,10.0
2025,Spanish Grand Prix,LAW,10,3.27
2025,Spanish Grand Prix,LAW,11,2.33
2025,Spanish Grand Prix,LAW,12,6.27
2025,Spanish Grand Prix,LAW,13,3.02
2025,Spanish Grand Prix,LAW,14,6.95
2025,Spanish Grand Prix,LAW,15,5.51
2025,Spanish Grand Prix,LAW,16,22.55
2025,Spanish Grand Prix,LAW,17,3.38
2025,Spanish Grand Prix,LAW,18,3.97
2025,Spanish Grand Prix,LAW,19,7.25
