year,race,driver,fastest_lap,avg_lap,stints,pitstops,laps_completed,track_affinity,team_strength,momentum,final_position
2023,Australian Grand Prix,PIA,81.335,82.887295,2,0,53.0,0.1,0.75,0.09999999000000101,11
2023,Azerbaijan Grand Prix,VER,104.232,105.786404,2,0,51.0,0.1,0.5,0.599999640000216,2
2023,Azerbaijan Grand Prix,GAS,105.54,107.134731,3,0,51.0,0.1,0.7,0.09999999000000101,14
2023,Azerbaijan Grand Prix,PER,104.589,105.666659,2,0,51.0,0.1,0.5,0.09999999000000101,1
2023,Azerbaijan Grand Prix,ALO,104.241,106.261297,2,0,51.0,0.1,0.8,0.21428566836735677,4
2023,Azerbaijan Grand Prix,LEC,104.561,106.289375,2,0,51.0,0.1,0.85,0.16666663888889352,3
2023,Azerbaijan Grand Prix,STR,105.627,106.89534,2,0,51.0,0.1,0.8,0.09999999000000101,7
2023,Azerbaijan Grand Prix,SAR,106.501,107.926441,2,0,51.0,0.1,0.5,0.09999999000000101,16
2023,Azerbaijan Grand Prix,MAG,105.85,107.703488,2,0,51.0,0.1,0.5,0.09999999000000101,13
2023,Azerbaijan Grand Prix,DEV,108.781,109.32325,1,0,9.0,0.1,0.4,0.09999999000000101,12
2023,Azerbaijan Grand Prix,TSU,105.727,107.495,2,0,51.0,0.1,0.4,0.09999999000000101,10
2023,Azerbaijan Grand Prix,ALB,105.925,107.616976,2,0,51.0,0.1,0.5,0.09999999000000101,12
2023,Azerbaijan Grand Prix,ZHO,107.553,108.518666,2,0,35.0,0.1,0.4,0.09999999000000101,16
2023,Azerbaijan Grand Prix,HUL,106.731,107.924738,1,0,48.0,0.1,0.5,0.09999999000000101,14
2023,Azerbaijan Grand Prix,OCO,105.908,107.630302,1,0,49.0,0.1,0.7,0.09999999000000101,9
2023,Azerbaijan Grand Prix,NOR,105.738,107.412568,2,0,51.0,0.1,0.75,0.09999999000000101,9
2023,Azerbaijan Grand Prix,HAM,105.346,106.688555,2,0,51.0,0.1,0.9,0.2727271983471277,6
2023,Azerbaijan Grand Prix,SAI,105.175,106.722361,2,0,51.0,0.1,0.85,0.11111109876543349,5
2023,Azerbaijan Grand Prix,RUS,103.37,106.9182,3,0,51.0,0.1,0.9,0.29999991000002696,8
2023,Azerbaijan Grand Prix,BOT,106.304,108.026,4,0,50.0,0.1,0.4,0.09999999000000101,18
2023,Azerbaijan Grand Prix,PIA,105.631,107.580116,2,0,51.0,0.1,0.75,0.09999999000000101,11
2023,Miami Grand Prix,VER,89.708,91.825345,2,0,57.0,0.1,0.5,0.599999640000216,1
2023,Miami Grand Prix,PER,90.56,91.902685,2,0,57.0,0.1,0.5,0.09999999000000101,2
2023,Miami Grand Prix,ALO,90.519,92.277129,2,0,57.0,0.1,0.8,0.21428566836735677,3
2023,Miami Grand Prix,RUS,91.015,92.342666,2,0,57.0,0.1,0.9,0.29999991000002696,4
2023,Miami Grand Prix,SAI,91.362,92.478314,2,0,57.0,0.1,0.85,0.11111109876543349,5
2023,Miami Grand Prix,HAM,90.669,92.633685,2,0,57.0,0.1,0.9,0.2727271983471277,6
