feature,importance
fastest_lap,0.2903041333431942
avg_lap,0.28802423638923397
laps_completed,0.1672401969855292
team_strength,0.14469672779665474
stints,0.07772417643305123
momentum,0.02080926145670617
pitstops,0.011201267595630454
track_affinity,0.0
