year,race,driver,position,probability
2023,Monaco,MAG,19,1.17
2023,Monaco,MAG,20,7.66
2023,Monaco,DEV,1,0.24
2023,Monaco,DEV,2,0.63
2023,Monaco,DEV,3,0.16
2023,Monaco,DEV,4,0.19
2023,Monaco,DEV,5,0.17
2023,Monaco,DEV,6,0.84
2023,Monaco,DEV,7,0.69
2023,Monaco,DEV,8,1.1
2023,Monaco,DEV,9,17.34
2023,Monaco,DEV,10,1.73
2023,Monaco,DEV,11,1.56
2023,Monaco,DEV,12,43.61
2023,Monaco,DEV,13,2.63
2023,Monaco,DEV,14,13.16
2023,Monaco,DEV,15,1.63
2023,Monaco,DEV,16,4.23
2023,Monaco,DEV,17,3.27
2023,Monaco,DEV,18,2.93
2023,Monaco,DEV,19,1.48
2023,Monaco,DEV,20,2.38
2023,Monaco,TSU,1,0.2
2023,Monaco,TSU,2,0.57
2023,Monaco,TSU,3,0.18
2023,Monaco,TSU,4,0.19
2023,Monaco,TSU,5,0.17
2023,Monaco,TSU,6,0.8
2023,Monaco,TSU,7,0.61
2023,Monaco,TSU,8,1.31
2023,Monaco,TSU,9,41.92
2023,Monaco,TSU,10,2.11
2023,Monaco,TSU,11,1.54
2023,Monaco,TSU,12,20.01
2023,Monaco,TSU,13,2.75
2023,Monaco,TSU,14,11.61
2023,Monaco,TSU,15,1.57
2023,Monaco,TSU,16,4.32
2023,Monaco,TSU,17,2.82
2023,Monaco,TSU,18,3.7
2023,Monaco,TSU,19,1.46
2023,Monaco,TSU,20,2.16
2023,Monaco,ALB,1,2.52
2023,Monaco,ALB,2,3.87
2023,Monaco,ALB,3,0.91
2023,Monaco,ALB,4,2.75
2023,Monaco,ALB,5,0.78
2023,Monaco,ALB,6,3.4
2023,Monaco,ALB,7,4.01
2023,Monaco,ALB,8,3.06
2023,Monaco,ALB,9,4.29
2023,Monaco,ALB,10,3.01
2023,Monaco,ALB,11,1.63
2023,Monaco,ALB,12,7.21
2023,Monaco,ALB,13,3.03
2023,Monaco,ALB,14,8.89
2023,Monaco,ALB,15,3.03
2023,Monaco,ALB,16,12.61
2023,Monaco,ALB,17,4.03
2023,Monaco,ALB,18,25.18
